t,rpm,PE,uF,EmergP
7.22,125.925913658152,6928.4454197191,0.950534904838897,-4.19526754384797
7.24,125.925472540585,6928.39687921541,0.950531575121979,-4.22755117853965
7.26,125.925031331824,6928.34832884699,0.950528244716704,-4.26058311898801
7.28,125.924590029796,6928.29976838562,0.950524913607412,-4.29432485049081
7.3,125.924148632444,6928.25119760503,0.950521581778574,-4.32873569216068
7.32,125.923707137726,6928.20261628085,0.95051824921479,-4.36488917759425
7.34,125.92326554362,6928.15402419052,0.950514915900786,-4.40151517243496
7.36,125.922823848118,6928.10542111318,0.950511581821402,-4.43856307089214
7.38,125.922382049226,6928.0568068297,0.9505082469616,-4.47598301550214
7.4,125.921940144967,6928.00818112252,0.950504911306446,-4.51372343420336
7.42,125.921498133376,6927.95954377565,0.950501574841116,-4.55330422620048
7.44,125.921056012504,6927.9108945746,0.950498237550886,-4.59420663854461
7.46,125.920613780412,6927.86223330633,0.950494899421135,-4.63530560488012
7.48,125.920171435177,6927.81355975917,0.950491560437331,-4.67654682014346
7.5,125.919728974885,6927.76487372278,0.950488220585039,-4.71787478281587
7.52,125.919286397636,6927.71617498813,0.950484879849908,-4.75923290913821
7.54,125.918843701539,6927.66746334743,0.950481538217675,-4.80056364984111
7.56,125.918400884717,6927.61873859407,0.950478195674156,-4.84180860911631
7.58,125.917957945299,6927.57000052259,0.950474852205248,-4.88290866554953
7.6,125.917514881429,6927.52124892866,0.950471507796923,-4.92380409473134
7.62,125.917071691256,6927.47248360899,0.950468162435227,-4.96443469325803
7.64,125.916628372943,6927.42370436135,0.950464816106273,-5.00473990383207
7.66,125.916184924658,6927.37491098447,0.950461468796247,-5.04465894116927
7.68,125.91574134458,6927.32610327806,0.950458120491397,-5.08413091841793
7.7,125.915297630895,6927.27728104275,0.950454771178034,-5.12309497379477
7.72,125.914853781798,6927.22844408005,0.950451420842531,-5.16149039714223
7.74,125.914409795491,6927.17959219232,0.95044806947132,-5.19925675611213
7.76,125.913965670185,6927.13072518276,0.950444717050888,-5.23633402168239
7.78,125.913521404095,6927.08184285537,0.950441363567776,-5.27266269271521
